Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0.0,-1.359807,-0.072781,2.536347,1.378155,-0.338321,0.462388,0.239599,0.098698,0.363787,0.090794,-0.551600,-0.617801,-0.991390,-0.311169,1.468177,-0.470401,0.207971,0.025791,0.403993,0.251412,-0.018307,0.277838,-0.110474,0.066928,0.128539,-0.189115,0.133558,-0.021053,149.62,0
0.0,1.191857,0.266151,0.166480,0.448154,0.060018,-0.082361,-0.078803,0.085102,-0.255425,-0.166974,1.612727,1.065235,0.489095,-0.143772,0.635558,0.463917,-0.114805,-0.183361,-0.145783,-0.069083,-0.225775,-0.638672,0.101288,-0.339846,0.167170,0.125895,-0.008983,0.014724,2.69,0
1.0,-1.358354,-1.340163,1.773209,0.379780,-0.503198,1.800499,0.791461,0.247676,-1.514654,0.207643,0.624501,0.066084,0.717293,-0.165946,2.345865,-2.890083,1.109969,-0.121359,-2.261857,0.524980,0.247998,0.771679,0.909412,-0.689281,-0.327642,-0.139097,-0.055353,-0.059752,378.66,0
1.0,-0.966272,-0.185226,1.792993,-0.863291,-0.010309,1.247203,0.237609,0.377436,-1.387024,-0.054952,-0.226487,0.178228,0.507757,-0.287924,-0.631418,-1.059647,-0.684093,1.965775,-1.232622,-0.208038,-0.108300,0.005274,-0.190321,-1.175575,0.647376,-0.221929,0.062723,0.061458,123.50,0
2.0,-1.158233,0.877737,1.548718,0.403034,-0.407193,0.095921,0.592941,-0.270533,0.817739,0.753074,-0.822843,0.538196,1.345852,-1.119670,0.175121,-0.451449,-0.237033,-0.038195,0.803487,0.408542,-0.009431,0.798278,-0.137458,0.141267,-0.206010,0.502292,0.219422,0.215153,69.99,0
2.0,-0.425966,0.960523,1.141109,-0.168252,0.420987,-0.029728,0.476201,0.260314,-0.568671,-0.371407,1.341262,0.359894,-0.358091,0.324380,-0.156742,0.250034,-0.633672,-0.120794,-0.385684,0.286735,-0.000844,-0.021620,-0.576883,-0.133747,-0.008939,0.149451,-0.150267,-0.037436,3.67,0
4.0,1.229658,0.141004,0.045371,1.202613,0.191881,0.272708,-0.005159,0.081213,0.464960,-0.099254,-1.416907,-0.153826,-0.751063,0.167372,0.050144,-0.443587,0.002628,-0.611987,-1.040458,0.139589,-0.531276,-0.274175,-0.110452,0.162272,0.376529,0.008983,-0.472711,0.102758,52.21,0
7.0,-0.644269,1.417964,1.074380,-0.492199,0.948934,0.428118,1.120631,-0.167416,-0.237841,-0.038574,0.803487,1.270460,0.817739,-0.054952,-0.226487,0.177840,1.559499,-0.382370,0.011747,0.142504,0.047431,1.053260,-0.649709,0.439761,0.624501,0.142406,-0.254092,-0.045466,0.00,0
7.0,-0.894286,0.286157,-0.113192,-0.271526,2.669599,3.721818,0.370145,0.851084,-0.392048,-0.410430,0.836239,-0.586538,-0.991843,-0.057051,0.213114,0.126833,0.517879,0.471759,0.260315,0.400638,-0.113898,0.031825,-0.485753,0.371950,-0.894286,-0.286157,-0.113192,-0.271526,70.73,0
9.0,-0.338262,1.119593,1.044367,-0.222187,0.499361,1.246713,0.228053,0.027471,-0.517876,-0.061159,0.432417,-0.068342,0.186963,-0.688807,0.008172,0.151716,-0.302729,-0.381977,-0.638076,0.266129,-0.361718,0.227114,-0.366798,0.194963,-0.527664,0.029313,-0.233842,-0.034374,59.86,1
